WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18030409,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,14.88,CC,986.74
VOL18110277 ,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,7.40,CC,994.90
VOL18060342,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,6.40,CC,962.20
VOL18030156,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),8,,,PP,955.00
VOL18010002,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,21.70,CC,947.20
VOL18090521 ,Nomination,Outbound,Electrical Equipment,FCL,EXW,Hai Phong (Vietnam),Genoa (Italy),3,,,CC,912.42
VOL18010239,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"Boston, MA (USA)",,2472.00,,PP,892.60
VOL18010768,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),4,,,PP,865.00
VOL18010237,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"New York, NY (USA)",,2620.00,,PP,851.00
VOL18020139,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),4,,,PP,841.00
VOL18090483,Free Hand,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Beijing (China),,2372.00,,PP,834.62
VOL18010042,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),3,,,CC,825.00
VOL18080275,Nomination,Inbound,Machinery,FCL,DDP,Shekou (China),Phnom Penh (Cambodia),6,,,PP,782.42
VOL18080338,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),15,,,PP,758.30
VOL18050145,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Bandar Abbas (Iran),3,,,PP,756.00
VOL18050339,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Bandar Abbas (Iran),3,,,PP,756.00
VOL18040445,Nomination,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),Tokyo (Japan),,1170.00,,PP,746.25
VOL18060531,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),7,,,PP,745.50
VOL18020475,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,740.00
VOL18030447,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,740.00
VOL18110440,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,1236.00,,PP,729.09
VOL18050388,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),5,,,PP,620.00
VOL18050096,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,4.97,CC,615.32
VOL18030636,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Callao (Peru),4,,,PP,605.00
VOL18100566 ,Nomination,Outbound,Electrical Equipment,Air,EXW,Ha Noi (Vietnam),Milan (Italy),,446.00,,PP,600.71
VOL18100071 ,Nomination,Outbound,Granite Stone,FCL,FOB,Qui Nhon (Vietnam),Constanta (Romania),20,,,CC,598.30
VOL18070462,Free Hand,Outbound,Machinery,LCL,CIF/CNF,Nhavasheva (India),Pointe A Pitre (Guadeloupe),,,2.77,PP,597.86
VOL18010413,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,702.00,,PP,591.82
VOL18080211,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,4.85,CC,589.10
"VOL18050475
",Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,5.39,CC,587.34
VOL18100486,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,5.07,CC,585.42
VOL18110191,Nomination,Outbound,Watering Machine,Air,EXW,Ha Noi (Vietnam),Barcelona (Spain),,899.50,,PP,582.87
VOL18060076,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,4.90,CC,574.70
VOL18110322 ,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),0,1158.00,0.00,PP,571.47
VOL18030512,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"New York, NY (USA)",,1682.00,,PP,569.60
VOL18070067,Nomination,Outbound,Fabrics & Yarns,LCL,EXW,Hai Phong (Vietnam),Shanghai (China),,,6.95,PP,566.11
VOL18070013,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),5,,,PP,560.00
VOL18070349,Nomination,Inbound,Fak,FCL,DDU,Riga (Latvia),Ha Noi (Vietnam),2,,,PP,557.93
VOL18100563 ,Free Hand,Domestics,Amiang,FCL,Inland,Hai Phong (Vietnam),Ho Chi Minh (Vietnam),5,,,PP,554.86
VOL18110194 ,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,920.00,,PP,554.12
VOL18090215,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,PP,550.00
VOL18070552,Free Hand,Outbound,Machinery,Air,FOB,Ho Chi Minh (Vietnam),Paramaribo (Suriname),,854.00,,PP,549.72
VOL18110199,Nomination,Outbound,Empty Container,FCL,EXW,Ho Chi Minh (Vietnam),Doha (Qatar),12,,,CC,553.10
VOL18080003,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,,6.72,PP,541.91
VOL18020356,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,540.00
VOL18030790,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,540.00
VOL18010554/VOL18010610,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),5,,,PP,530.00
VOL18100177,Nomination,Outbound,Granite Stone,FCL,FOB,Qui Nhon (Vietnam),Constanta (Romania),18,,,CC,519.44
VOL18070313,Nomination,Outbound,Fak,LCL,FOB,Hai Phong (Vietnam),"Los Angeles, CA (USA)",,,10.94,PP,508.11
VOL18090478,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,1159.50,,PP,507.85
VOL18020544,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),2,,,PP,479.97
VOL18100144,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,3.26,CC,470.06
VOL18050305,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,PP,470.00
VOL18020342/VOL18020530,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,962.00,,PP,458.58
VOL18090399,Nomination,Outbound,Auto Parts,Air,EXW,Ha Noi (Vietnam),Mexico City (Mexico),,681.00,,PP,457.57
VOL18110230,Nomination,Outbound,Solar Cells,Air,FOB,Ha Noi (Vietnam),Mumbai (India),,3996.50,,PP,467.65
VOL18050570,Nomination,Outbound,Fak,Air,EXW,Ha Noi (Vietnam),Milan (Italy),,250.00,,PP,449.00
VOL18090346,Free Hand,Inbound,Filter Cartridge,LCL,CIF/CNF,Bangkok (Thailand),Ho Chi Minh (Vietnam),,,2.69,PP,447.81
VOL18030271,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,447.13
VOL18040566,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,443.73
VOL18010293,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Omaha, NE (USA)",,,62.28,PP,443.00
VOL18030559,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,440.99
VOL18030791,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,440.99
VOL18040297,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,440.00
VOL18050094,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,439.03
VOL18050244,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,426.76
VOL18040571,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,426.76
VOL18010238,Nomination,Outbound,Footwear,Air,FOB,Phnom Penh (Cambodia),"Salt Lake City, UT (USA)",,1806.00,,PP,426.20
VOL18010382/VOL18010448/VOL18010511,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,422.12
VOL18030083,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),2,,,PP,420.00
VOL18020006,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",4,,,PP,420.00
VOL18010405,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),2,,,PP,420.00
VOL18010009,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,419.94
VOL18110080 ,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,PP,413.60
VOL18010312,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,410.81
VOL18080085,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,408.30
VOL18070474,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,1545.00,,PP,406.10
VOL18060421,Nomination,Inbound,Ceramics & Stoneware,FCL,DDU,Shekou (China),Ho Chi Minh (Vietnam),2,,,PP,402.68
VOL18020308w/o2: VOL18020365,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,379.00,,PP,400.80
VOL18010650,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),4,,,PP,400.00
VOL18030411,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ha Noi (Vietnam),"Boston, MA (USA)",,1997.50,,PP,399.50
VOL18010205,Nomination,Outbound,Carton Box & Divider,FCL,EXW,Ho Chi Minh (Vietnam),Sydney (Australia),2,,,PP,397.75
VOL18010268,Free Hand,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),"Dallas, TX (USA)",2,,,PP,395.75
VOL18090458,Nomination,Outbound,Empty Container,Air,EXW,Ha Noi (Vietnam),Milan (Italy),,182.50,,PP,392.45
VOL18090277,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),Beijing (China),,748.00,,PP,391.02
VOL18010169,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),2,,,PP,390.00
VOL18090345,Nomination,Outbound,Auto Parts,Air,EXW,Ha Noi (Vietnam),Mexico City (Mexico),,548.00,,PP,388.53
VOL18080002,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,,4.53,PP,386.56
VOL18010807,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Tacoma, WA (USA)",,,31.95,PP,386.00
VOL18070539,Nomination,Outbound,Shoes,Air,EXW,Ha Noi (Vietnam),Shanghai (China),,703.00,,PP,384.51
VOL18010203 + VOL18010286,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Shanghai (China),,786.00,,PP,381.83
VOL18100158,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Shanghai (China),,671.00,,PP,377.43
VOL18030511,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"Boston, MA (USA)",,1230.00,,PP,377.50
VOL18010597,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,10.70,CC,374.50
VOL18010253,Free Hand,Inbound,Sporting Goods; Parts & Acessories,Air,DDP,London (UK),Phnom Penh (Cambodia),,34.00,,PP,371.73
VOL18030002,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,505.50,,PP,371.25
VOL18050491,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),3,,,PP,370.00
VOL18090120,Nomination,Outbound,Mattress & Pillow,FCL,EXW,Ho Chi Minh (Vietnam),Xingang (China),2,,,PP,369.87
VOL18060150,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,1868.00,,PP,367.00
VOL18070289,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,364.00
VOL18050226,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Jebel Ali (UAE),2,,,PP,363.00
VOL18060603,Free Hand,Inbound,Fak,FCL,DDU,Yantian (China),Hai Phong (Vietnam),2,,,PP,360.00
VOL18110184,Nomination,Outbound,Granite Stone,FCL,FOB,Hai Phong (Vietnam),"Houston, TX (USA)",1,,,PP,358.65
VOL18020005,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),"Chicago, IL (USA)",1,,,PP,358.00
VOL18100095 ,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Callao (Peru),1,,,PP,357.50
VOL18020531,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"Boston, MA (USA)",,472.00,,PP,353.20
VOL18040457,Free Hand,Inbound,Machinery,FCL,DDU,Yantian (China),Hai Phong (Vietnam),2,,,PP,353.00
VOL18110280 ,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",2,,,PP,352.50
VOL18010246,Free Hand,Inbound,Fak,LCL,DDU,Genoa (Italy),Hai Phong (Vietnam),,,6.32,PP,350.47
VOL18030018,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18020274,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18010762,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18020140,Nomination,Outbound,Furniture,FCL,FOB,Qui Nhon (Vietnam),Jebel Ali (UAE),6,,,PP,350.00
VOL18030017,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18010763,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18020275,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,350.00
VOL18100265,Nomination,Outbound,Granite Stone,FCL,FOB,Qui Nhon (Vietnam),Mersin (Turkey),5,,,PP,348.50
VOL18060197,Free Hand,Inbound,Fak,FCL,DDU,Yantian (China),Hai Phong (Vietnam),2,,,PP,348.37
VOL18090274,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Phnom Penh (Cambodia),4,,,PP,343.80
VOL18040519,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),2,,,PP,343.70
VOL18090482,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Beijing (China),,673.50,,PP,342.11
VOL18110481 ,Nomination,Outbound,Granite Stone,FCL,FOB,Hai Phong (Vietnam),"Houston, TX (USA)",1,,,PP,341.65
VOL18100100,Nomination,Outbound,Granite Stone,FCL,FOB,Qui Nhon (Vietnam),Constanta (Romania),12,,,CC,341.12
VOL18020396,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Cincinnati, OH (USA)",,,12.95,PP,340.00
VOL18100127 ,Nomination,Outbound,Fashion Accessories,Air,EXW,Ho Chi Minh (Vietnam),Shenzhen (China),,1280.00,,PP,338.84
VOL18030611 + VOL18030710,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Port Said (Egypt),,,8.00,PP,338.00
VOL18070206,Nomination,Outbound,Fak,FCL,EXW,Hai Phong (Vietnam),San Antonio (Usa),1,,,PP,336.70
VOL18080461,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),5,,,PP,336.60
VOL18040190,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),10,,,CC,335.23
VOL18040198,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),10,,,CC,335.23
VOL18030038,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,3.87,CC,335.11
VOL18090404,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,4.03,CC,332.09
VOL18020395,Nomination,Outbound,Garment/Textile,FCL,FOB,Ho Chi Minh (Vietnam),Felixstowe (UK),2,,,PP,329.74
VOL18030363,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),4,,,PP,325.00
VOL18030585,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,325.00
VOL18030445,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,325.00
VOL18010061,Free Hand,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),Stuttgart (Germany),,306.00,,PP,324.43
VOL18030590+VOL18030756,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,CIF/CNF,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,323.53
VOL18040230,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,323.53
VOL18030048 + VOL18030279+VOL18030758,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,323.18
VOL18020164,Nomination,Outbound,Bag and Luggage,LCL,FOB,Hai Phong (Vietnam),"Houston, TX (USA)",,,6.96,PP,322.72
VOL18030784,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,3.61,CC,320.36
VOL18030493,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),2,,,PP,320.00
VOL18040344,Nomination,Outbound,Fak,LCL,EXW,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,5.00,PP,320.00
VOL18110341 ,Nomination,Outbound,Bamboo Baskets,FCL,FOB,Hai Phong (Vietnam),Naples (Italy),2,0.00,0.00,PP,61.07
VOL18080032,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Fuzhou (China),Ho Chi Minh (Vietnam),2,,,PP,317.18
VOL18040486,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,4.90,CC,316.40
VOL18080511,Free Hand,Outbound,Electrical Equipment,FCL,DDU,Ho Chi Minh (Vietnam),Laem Chabang (Thailand),1,,,CC,315.00
VOL18030686,Nomination,Outbound,Auto Parts,FCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",2,,,PP,312.00
VOL18110143,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,532.73,,PP,311.86
VOL18020052,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"New York, NY (USA)",,1232.00,,PP,311.40
VOL18050207,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,311.30
VOL18050206,Nomination,Outbound,Furniture,Air,DDU,Ho Chi Minh (Vietnam),"Macau (Macau, China)",,1026.00,,PP,311.12
VOL18080598,Nomination,Outbound,Fashion Accessories,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,324.00,,PP,310.17
VOL18040557,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Hai Phong (Vietnam),3,,,PP,309.88
VOL18100316,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Fuzhou (China),Ho Chi Minh (Vietnam),2,,,PP,308.88
VOL18070385,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),3,,,PP,307.75
VOL18040235,Nomination,Outbound,Foodstuffs,Air,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,423.00,,PP,307.05
VOL18040189,Nomination,Outbound,Kitchenware,LCL,EXW,Phnom Penh (Cambodia),Chittagong (Bangladesh),,,7.98,PP,306.22
VOL18040025,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,,3.70,PP,304.20
VOL18080554,Free Hand,Inbound,Plastic Goods,LCL,DDU,Hong Kong (Hong Kong),Hai Phong (Vietnam),,,10.83,CC,302.22
VOL18010745,Free Hand,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Antwerp (Belgium),10,,,PP,300.00
VOL18060502,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Um Qasr (Iraq),2,,,PP,300.00
VOL18100331 ,Nomination,Outbound,Electrical Equipment,Air,EXW,Ha Noi (Vietnam),Milan (Italy),,71.50,,PP,295.70
VOL18050333,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),4,,,PP,294.30
VOL18010299,Free Hand,Inbound,Woodenware,LCL,FOB,Shanghai (China),Ho Chi Minh (Vietnam),,,5.60,PP,294.10
VOL18030750,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),4,,,PP,294.07
VOL18070192,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Callao (Peru),1,,,PP,294.00
VOL18080013,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),San Juan (Puerto Rico),2,,,PP,293.84
VOL18110442,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),10,,,PP,226.44
VOL18110444 ,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),20,,,PP,252.44
VOL18030677,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Icd Garhi Harsaru (India),2,,,PP,290.00
VOL18090492,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),1,,,PP,289.40
VOL18100522,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,248.00,,PP,289.17
VOL18010805,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"Salt Lake City, UT (USA)",,1110.00,,PP,287.00
VOL18080329,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,2.47,CC,285.61
VOL18040334,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,285.00
